ID	CRISPR-Cas
ab02386	I-Fb
ab02387	I-Fb
ab02389	I-Fb
ab02391	I-Fb
ab02413	I-Fb
ab02416	I-Fb
ab02417	I-Fb
ab02429	I-Fb
ab02453	I-Fb
ab02454	I-Fb
ab02455	I-Fb
ab02456	I-Fb
ab02457	I-Fb
ab02458	I-Fb
ab02459	I-Fb
ab02461	I-Fb
ab02462	I-Fb
ab02463	I-Fb
ab02464	I-Fb
ab02465	I-Fb
ab02466	I-Fb
ab02468	I-Fb
ab02469	I-Fb
ab02470	I-Fb
ab02471	I-Fb
ab02472	I-Fb
ab02476	I-Fb
ab02477	I-Fb
ab02485	I-Fb
ab02486	I-Fb
ab02489	I-Fb
ab02492	I-Fb
ab02493	I-Fb
ab02494	I-Fb
ab02495	I-Fb
ab02496	I-Fb
ab02498	I-Fb
ab02499	I-Fb
ab02500	I-Fb
ab02501	I-Fb
ab02640	I-Fb
ab02641	I-Fb
ab02646	I-Fb
ab02650	I-Fb
ab02661	I-Fb
ab02662	I-Fb
ab02674	I-Fb
ab02688	I-Fb
ab02771	I-Fb
ab02819	I-Fb
ab02821	I-Fb
ab03003	I-Fb
ab03083	I-Fb
ab03103	I-Fb
ab03194	I-Fb
ab03537	I-Fb
ab03538	I-Fb
ab03544	I-Fb
ab03547	I-Fb
ab03549	I-Fb
ab03551	I-Fb
ab03552	I-Fb
ab03554	I-Fb
ab03555	I-Fb
ab03558	I-Fb
ab03559	I-Fb
ab03560	I-Fb
ab03579	I-Fb
ab03586	I-Fb
ab03589	I-Fb
ab03594	I-Fb
ab03603	I-Fb
ab03604	I-Fb
ab03608	I-Fb
ab03613	I-Fb
ab03634	I-Fb
ab03645	I-Fb
ab03647	I-Fb
ab03649	I-Fb
ab03650	I-Fb
ab03655	I-Fb
ab03663	I-Fb
ab03667	I-Fb
ab03683	I-Fb
ab03689	I-Fb
ab03690	I-Fb
ab03691	I-Fb
ab03703	I-Fb
ab03704	I-Fb
ab03707	I-Fb
ab03709	I-Fb
ab03710	I-Fb
ab03717	I-Fb
ab03719	I-Fb
ab03728	I-Fb
ab03730	I-Fb
ab03732	I-Fb
ab03733	I-Fb
ab03738	I-Fb
ab03758	I-Fb
ab03772	I-Fb
ab03775	I-Fb
ab03778	I-Fb
ab03780	I-Fb
ab03833	I-Fb
ab03835	I-Fb
ab03862	I-Fb
ab03877	I-Fb
ab03880	I-Fb
ab03882	I-Fb
ab03887	I-Fb
ab03910	I-Fb
ab03913	I-Fb
ab03915	I-Fb
ab03988	I-Fb
ab03989	I-Fb
ab04182	I-Fb
ab04254	I-Fb
ab04280	I-Fb
ab04286	I-Fb
ab04296	I-Fb
