ID	CRISPR-Cas
ab00611	ambiguous
ab01280	ambiguous
ab01320	ambiguous
ab01385	ambiguous
ab01388	ambiguous
ab01486	ambiguous
ab01545	ambiguous
ab01587	ambiguous
ab01591	ambiguous
ab01592	ambiguous
ab01594	ambiguous
ab01602	ambiguous
ab01649	ambiguous
ab02025	ambiguous
ab02028	ambiguous
ab02040	ambiguous
ab02071	ambiguous
ab02236	ambiguous
ab02379	ambiguous
ab02385	ambiguous
ab03532	ambiguous
ab03539	ambiguous
ab03557	ambiguous
ab03600	ambiguous
ab03602	ambiguous
ab03605	ambiguous
ab03610	ambiguous
ab03624	ambiguous
ab03661	ambiguous
ab03666	ambiguous
ab03708	ambiguous
ab03863	ambiguous
ab03883	ambiguous
ab03886	ambiguous
ab03969	ambiguous
ab04343	ambiguous
ab04908	ambiguous
ab04909	ambiguous
ab04945	ambiguous
ab04979	ambiguous
ab04980	ambiguous
ab05050	ambiguous
ab05054	ambiguous
ab05167	ambiguous
ab05168	ambiguous
ab05408	ambiguous
ab05452	ambiguous
ab05471	ambiguous
ab05473	ambiguous
ab05476	ambiguous
ab05477	ambiguous
ab05487	ambiguous
ab05498	ambiguous
ab05506	ambiguous
ab05508	ambiguous
ab05543	ambiguous
ab05551	ambiguous
ab05552	ambiguous
ab05556	ambiguous
ab05558	ambiguous
ab05559	ambiguous
ab05576	ambiguous
ab05584	ambiguous
ab05661	ambiguous
ab05748	ambiguous
ab05779	ambiguous
ab05795	ambiguous
ab05796	ambiguous
ab05816	ambiguous
ab05828	ambiguous
ab05837	ambiguous
ab05879	ambiguous
ab05884	ambiguous
ab05912	ambiguous
ab06066	ambiguous
ab06109	ambiguous
ab06156	ambiguous
ab06157	ambiguous
ab06363	ambiguous
ab06375	ambiguous
ab06383	ambiguous
ab06527	ambiguous
ab06569	ambiguous
ab07090	ambiguous
ab07099	ambiguous
ab07115	ambiguous
ab07173	ambiguous
ab07176	ambiguous
ab07187	ambiguous
ab07209	ambiguous
ab07228	ambiguous
ab07312	ambiguous
ab07327	ambiguous
ab07345	ambiguous
ab07353	ambiguous
ab07367	ambiguous
ab07374	ambiguous
ab07375	ambiguous
ab07381	ambiguous
ab07402	ambiguous
ab07439	ambiguous
ab07602	ambiguous
ab07611	ambiguous
ab07702	ambiguous
ab07739	ambiguous
ab07912	ambiguous
ab07950	ambiguous
ab07997	ambiguous
ab08001	ambiguous
ab08078	ambiguous
ab08083	ambiguous
ab08148	ambiguous
ab08325	ambiguous
ab08362	ambiguous
ab08474	ambiguous
ab08475	ambiguous
ab08486	ambiguous
ab08492	ambiguous
ab08552	ambiguous
ab08879	ambiguous
ab08892	ambiguous
ab09168	ambiguous
ab09169	ambiguous
ab09476	ambiguous
ab09490	ambiguous
ab09507	ambiguous
ab09568	ambiguous
ab00001	No_CRISPR
ab00002	No_CRISPR
ab00003	No_CRISPR
ab00004	No_CRISPR
ab00005	No_CRISPR
ab00006	No_CRISPR
ab00007	No_CRISPR
ab00008	No_CRISPR
ab00009	No_CRISPR
ab00010	No_CRISPR
ab00011	No_CRISPR
ab00014	No_CRISPR
ab00015	No_CRISPR
ab00026	No_CRISPR
ab00028	No_CRISPR
ab00033	No_CRISPR
ab00035	No_CRISPR
ab00036	No_CRISPR
ab00037	No_CRISPR
ab00038	No_CRISPR
ab00039	No_CRISPR
ab00040	No_CRISPR
ab00042	No_CRISPR
ab00054	No_CRISPR
ab00055	No_CRISPR
ab00057	No_CRISPR
ab00058	No_CRISPR
ab00059	No_CRISPR
ab00060	No_CRISPR
ab00064	No_CRISPR
ab00065	No_CRISPR
ab00066	No_CRISPR
ab00067	No_CRISPR
ab00068	No_CRISPR
ab00070	No_CRISPR
ab00071	No_CRISPR
ab00073	No_CRISPR
ab00074	No_CRISPR
ab00075	No_CRISPR
ab00077	No_CRISPR
ab00081	No_CRISPR
ab00083	No_CRISPR
ab00085	No_CRISPR
ab00088	No_CRISPR
ab00091	No_CRISPR
ab00093	No_CRISPR
ab00095	No_CRISPR
ab00100	No_CRISPR
ab00101	No_CRISPR
ab00104	No_CRISPR
ab00110	No_CRISPR
ab00111	No_CRISPR
ab00112	No_CRISPR
ab00113	No_CRISPR
ab00116	No_CRISPR
ab00121	No_CRISPR
ab00125	No_CRISPR
ab00126	No_CRISPR
ab00134	No_CRISPR
ab00143	No_CRISPR
ab00145	No_CRISPR
ab00148	No_CRISPR
ab00151	No_CRISPR
ab00153	No_CRISPR
ab00156	No_CRISPR
ab00168	No_CRISPR
ab00169	No_CRISPR
ab00170	No_CRISPR
ab00171	No_CRISPR
ab00173	No_CRISPR
ab00174	No_CRISPR
ab00175	No_CRISPR
ab00176	No_CRISPR
ab00177	No_CRISPR
ab00178	No_CRISPR
ab00183	No_CRISPR
ab00189	No_CRISPR
ab00190	No_CRISPR
ab00191	No_CRISPR
ab00193	No_CRISPR
ab00194	No_CRISPR
ab00195	No_CRISPR
ab00197	No_CRISPR
ab00198	No_CRISPR
ab00202	No_CRISPR
ab00204	No_CRISPR
ab00205	No_CRISPR
ab00206	No_CRISPR
ab00207	No_CRISPR
ab00208	No_CRISPR
ab00209	No_CRISPR
ab00210	No_CRISPR
ab00211	No_CRISPR
ab00212	No_CRISPR
ab00214	No_CRISPR
ab00215	No_CRISPR
ab00216	No_CRISPR
ab00217	No_CRISPR
ab00218	No_CRISPR
ab00219	No_CRISPR
ab00220	No_CRISPR
ab00221	No_CRISPR
ab00223	No_CRISPR
ab00224	No_CRISPR
ab00225	No_CRISPR
ab00228	No_CRISPR
ab00229	No_CRISPR
ab00230	No_CRISPR
ab00231	No_CRISPR
ab00232	No_CRISPR
ab00233	No_CRISPR
ab00234	No_CRISPR
ab00235	No_CRISPR
ab00236	No_CRISPR
ab00237	No_CRISPR
ab00238	No_CRISPR
ab00240	No_CRISPR
ab00241	No_CRISPR
ab00242	No_CRISPR
ab00243	No_CRISPR
ab00244	No_CRISPR
ab00245	No_CRISPR
ab00246	No_CRISPR
ab00247	No_CRISPR
ab00248	No_CRISPR
ab00249	No_CRISPR
ab00250	No_CRISPR
ab00252	No_CRISPR
ab00253	No_CRISPR
ab00254	No_CRISPR
ab00255	No_CRISPR
ab00256	No_CRISPR
ab00257	No_CRISPR
ab00258	No_CRISPR
ab00259	No_CRISPR
ab00260	No_CRISPR
ab00261	No_CRISPR
ab00262	No_CRISPR
ab00263	No_CRISPR
ab00264	No_CRISPR
ab00266	No_CRISPR
ab00267	No_CRISPR
ab00268	No_CRISPR
ab00269	No_CRISPR
ab00270	No_CRISPR
ab00271	No_CRISPR
ab00272	No_CRISPR
ab00273	No_CRISPR
ab00274	No_CRISPR
ab00275	No_CRISPR
ab00276	No_CRISPR
ab00277	No_CRISPR
ab00278	No_CRISPR
ab00279	No_CRISPR
ab00280	No_CRISPR
ab00281	No_CRISPR
ab00282	No_CRISPR
ab00283	No_CRISPR
ab00284	No_CRISPR
ab00285	No_CRISPR
ab00286	No_CRISPR
ab00287	No_CRISPR
ab00288	No_CRISPR
ab00289	No_CRISPR
ab00290	No_CRISPR
ab00291	No_CRISPR
ab00292	No_CRISPR
ab00293	No_CRISPR
ab00294	No_CRISPR
ab00295	No_CRISPR
ab00296	No_CRISPR
ab00297	No_CRISPR
ab00298	No_CRISPR
ab00299	No_CRISPR
ab00300	No_CRISPR
ab00301	No_CRISPR
ab00302	No_CRISPR
ab00303	No_CRISPR
ab00304	No_CRISPR
ab00305	No_CRISPR
ab00306	No_CRISPR
ab00307	No_CRISPR
ab00308	No_CRISPR
ab00309	No_CRISPR
ab00310	No_CRISPR
ab00311	No_CRISPR
ab00312	No_CRISPR
ab00313	No_CRISPR
ab00314	No_CRISPR
ab00315	No_CRISPR
ab00316	No_CRISPR
ab00317	No_CRISPR
ab00318	No_CRISPR
ab00319	No_CRISPR
ab00320	No_CRISPR
ab00321	No_CRISPR
ab00322	No_CRISPR
ab00323	No_CRISPR
ab00324	No_CRISPR
ab00325	No_CRISPR
ab00326	No_CRISPR
ab00327	No_CRISPR
ab00328	No_CRISPR
ab00329	No_CRISPR
ab00330	No_CRISPR
ab00331	No_CRISPR
ab00332	No_CRISPR
ab00333	No_CRISPR
ab00334	No_CRISPR
ab00335	No_CRISPR
ab00336	No_CRISPR
ab00337	No_CRISPR
ab00338	No_CRISPR
ab00339	No_CRISPR
ab00340	No_CRISPR
ab00341	No_CRISPR
ab00342	No_CRISPR
ab00343	No_CRISPR
ab00344	No_CRISPR
ab00345	No_CRISPR
ab00346	No_CRISPR
ab00347	No_CRISPR
ab00348	No_CRISPR
ab00349	No_CRISPR
ab00350	No_CRISPR
ab00351	No_CRISPR
ab00352	No_CRISPR
ab00353	No_CRISPR
ab00354	No_CRISPR
ab00355	No_CRISPR
ab00356	No_CRISPR
ab00357	No_CRISPR
ab00358	No_CRISPR
ab00359	No_CRISPR
ab00360	No_CRISPR
ab00361	No_CRISPR
ab00362	No_CRISPR
ab00363	No_CRISPR
ab00364	No_CRISPR
ab00365	No_CRISPR
ab00366	No_CRISPR
ab00367	No_CRISPR
ab00368	No_CRISPR
ab00369	No_CRISPR
ab00370	No_CRISPR
ab00371	No_CRISPR
ab00372	No_CRISPR
ab00373	No_CRISPR
ab00374	No_CRISPR
ab00375	No_CRISPR
ab00376	No_CRISPR
ab00377	No_CRISPR
ab00378	No_CRISPR
ab00379	No_CRISPR
ab00380	No_CRISPR
ab00381	No_CRISPR
ab00382	No_CRISPR
ab00384	No_CRISPR
ab00385	No_CRISPR
ab00386	No_CRISPR
ab00387	No_CRISPR
ab00388	No_CRISPR
ab00389	No_CRISPR
ab00390	No_CRISPR
ab00391	No_CRISPR
ab00392	No_CRISPR
ab00393	No_CRISPR
ab00394	No_CRISPR
ab00395	No_CRISPR
ab00396	No_CRISPR
ab00397	No_CRISPR
ab00398	No_CRISPR
ab00399	No_CRISPR
ab00401	No_CRISPR
ab00402	No_CRISPR
ab00403	No_CRISPR
ab00405	No_CRISPR
ab00406	No_CRISPR
ab00407	No_CRISPR
ab00408	No_CRISPR
ab00409	No_CRISPR
ab00410	No_CRISPR
ab00411	No_CRISPR
ab00412	No_CRISPR
ab00413	No_CRISPR
ab00414	No_CRISPR
ab00415	No_CRISPR
ab00416	No_CRISPR
ab00417	No_CRISPR
ab00418	No_CRISPR
ab00419	No_CRISPR
ab00420	No_CRISPR
ab00421	No_CRISPR
ab00422	No_CRISPR
ab00423	No_CRISPR
ab00424	No_CRISPR
ab00425	No_CRISPR
ab00426	No_CRISPR
ab00429	No_CRISPR
ab00430	No_CRISPR
ab00431	No_CRISPR
ab00432	No_CRISPR
ab00433	No_CRISPR
ab00434	No_CRISPR
ab00435	No_CRISPR
ab00436	No_CRISPR
ab00437	No_CRISPR
ab00438	No_CRISPR
ab00439	No_CRISPR
ab00440	No_CRISPR
ab00441	No_CRISPR
ab00442	No_CRISPR
ab00443	No_CRISPR
ab00444	No_CRISPR
ab00445	No_CRISPR
ab00446	No_CRISPR
ab00447	No_CRISPR
ab00448	No_CRISPR
ab00449	No_CRISPR
ab00450	No_CRISPR
ab00451	No_CRISPR
ab00452	No_CRISPR
ab00453	No_CRISPR
ab00454	No_CRISPR
ab00455	No_CRISPR
ab00456	No_CRISPR
ab00457	No_CRISPR
ab00458	No_CRISPR
ab00459	No_CRISPR
ab00460	No_CRISPR
ab00461	No_CRISPR
ab00462	No_CRISPR
ab00463	No_CRISPR
ab00464	No_CRISPR
ab00465	No_CRISPR
ab00466	No_CRISPR
ab00467	No_CRISPR
ab00468	No_CRISPR
ab00469	No_CRISPR
ab00470	No_CRISPR
ab00471	No_CRISPR
ab00472	No_CRISPR
ab00473	No_CRISPR
ab00474	No_CRISPR
ab00475	No_CRISPR
ab00476	No_CRISPR
ab00478	No_CRISPR
ab00479	No_CRISPR
ab00480	No_CRISPR
ab00481	No_CRISPR
ab00482	No_CRISPR
ab00483	No_CRISPR
ab00484	No_CRISPR
ab00485	No_CRISPR
ab00486	No_CRISPR
ab00488	No_CRISPR
ab00489	No_CRISPR
ab00490	No_CRISPR
ab00491	No_CRISPR
ab00492	No_CRISPR
ab00493	No_CRISPR
ab00494	No_CRISPR
ab00496	No_CRISPR
ab00497	No_CRISPR
ab00499	No_CRISPR
ab00500	No_CRISPR
ab00501	No_CRISPR
ab00502	No_CRISPR
ab00503	No_CRISPR
ab00504	No_CRISPR
ab00505	No_CRISPR
ab00506	No_CRISPR
ab00507	No_CRISPR
ab00508	No_CRISPR
ab00509	No_CRISPR
ab00510	No_CRISPR
ab00511	No_CRISPR
ab00512	No_CRISPR
ab00513	No_CRISPR
ab00514	No_CRISPR
ab00515	No_CRISPR
ab00516	No_CRISPR
ab00517	No_CRISPR
ab00518	No_CRISPR
ab00519	No_CRISPR
ab00520	No_CRISPR
ab00521	No_CRISPR
ab00522	No_CRISPR
ab00523	No_CRISPR
ab00524	No_CRISPR
ab00525	No_CRISPR
ab00526	No_CRISPR
ab00530	No_CRISPR
ab00531	No_CRISPR
ab00532	No_CRISPR
ab00533	No_CRISPR
ab00535	No_CRISPR
ab00536	No_CRISPR
ab00537	No_CRISPR
ab00538	No_CRISPR
ab00539	No_CRISPR
ab00540	No_CRISPR
ab00541	No_CRISPR
ab00542	No_CRISPR
ab00543	No_CRISPR
ab00544	No_CRISPR
ab00545	No_CRISPR
ab00546	No_CRISPR
ab00547	No_CRISPR
ab00548	No_CRISPR
ab00549	No_CRISPR
ab00550	No_CRISPR
ab00551	No_CRISPR
ab00552	No_CRISPR
ab00553	No_CRISPR
ab00554	No_CRISPR
ab00555	No_CRISPR
ab00556	No_CRISPR
ab00557	No_CRISPR
ab00558	No_CRISPR
ab00559	No_CRISPR
ab00560	No_CRISPR
ab00561	No_CRISPR
ab00562	No_CRISPR
ab00565	No_CRISPR
ab00566	No_CRISPR
ab00567	No_CRISPR
ab00568	No_CRISPR
ab00569	No_CRISPR
ab00570	No_CRISPR
ab00573	No_CRISPR
ab00574	No_CRISPR
ab00575	No_CRISPR
ab00576	No_CRISPR
ab00577	No_CRISPR
ab00578	No_CRISPR
ab00579	No_CRISPR
ab00580	No_CRISPR
ab00581	No_CRISPR
ab00582	No_CRISPR
ab00583	No_CRISPR
ab00584	No_CRISPR
ab00585	No_CRISPR
ab00586	No_CRISPR
ab00587	No_CRISPR
ab00588	No_CRISPR
ab00589	No_CRISPR
ab00590	No_CRISPR
ab00591	No_CRISPR
ab00593	No_CRISPR
ab00594	No_CRISPR
ab00595	No_CRISPR
ab00596	No_CRISPR
ab00597	No_CRISPR
ab00598	No_CRISPR
ab00599	No_CRISPR
ab00600	No_CRISPR
ab00601	No_CRISPR
ab00602	No_CRISPR
ab00604	No_CRISPR
ab00605	No_CRISPR
ab00606	No_CRISPR
ab00607	No_CRISPR
ab00608	No_CRISPR
ab00609	No_CRISPR
ab00612	No_CRISPR
ab00613	No_CRISPR
ab00614	No_CRISPR
ab00615	No_CRISPR
ab00616	No_CRISPR
ab00617	No_CRISPR
ab00618	No_CRISPR
ab00619	No_CRISPR
ab00620	No_CRISPR
ab00621	No_CRISPR
ab00622	No_CRISPR
ab00623	No_CRISPR
ab00624	No_CRISPR
ab00625	No_CRISPR
ab00626	No_CRISPR
ab00627	No_CRISPR
ab00628	No_CRISPR
ab00629	No_CRISPR
ab00630	No_CRISPR
ab00631	No_CRISPR
ab00632	No_CRISPR
ab00633	No_CRISPR
ab00634	No_CRISPR
ab00635	No_CRISPR
ab00636	No_CRISPR
ab00637	No_CRISPR
ab00638	No_CRISPR
ab00639	No_CRISPR
ab00640	No_CRISPR
ab00641	No_CRISPR
ab00643	No_CRISPR
ab00644	No_CRISPR
ab00645	No_CRISPR
ab00646	No_CRISPR
ab00648	No_CRISPR
ab00649	No_CRISPR
ab00650	No_CRISPR
ab00651	No_CRISPR
ab00652	No_CRISPR
ab00653	No_CRISPR
ab00654	No_CRISPR
ab00655	No_CRISPR
ab00656	No_CRISPR
ab00657	No_CRISPR
ab00660	No_CRISPR
ab00661	No_CRISPR
ab00662	No_CRISPR
ab00663	No_CRISPR
ab00664	No_CRISPR
ab00665	No_CRISPR
ab00667	No_CRISPR
ab00668	No_CRISPR
ab00669	No_CRISPR
ab00670	No_CRISPR
ab00671	No_CRISPR
ab00672	No_CRISPR
ab00673	No_CRISPR
ab00674	No_CRISPR
ab00675	No_CRISPR
ab00676	No_CRISPR
ab00677	No_CRISPR
ab00678	No_CRISPR
ab00679	No_CRISPR
ab00680	No_CRISPR
ab00682	No_CRISPR
ab00683	No_CRISPR
ab00684	No_CRISPR
ab00685	No_CRISPR
ab00686	No_CRISPR
ab00687	No_CRISPR
ab00688	No_CRISPR
ab00689	No_CRISPR
ab00690	No_CRISPR
ab00691	No_CRISPR
ab00692	No_CRISPR
ab00693	No_CRISPR
ab00694	No_CRISPR
ab00695	No_CRISPR
ab00696	No_CRISPR
ab00697	No_CRISPR
ab00698	No_CRISPR
ab00699	No_CRISPR
ab00700	No_CRISPR
ab00701	No_CRISPR
ab00702	No_CRISPR
ab00703	No_CRISPR
ab00704	No_CRISPR
ab00705	No_CRISPR
ab00706	No_CRISPR
ab00707	No_CRISPR
ab00708	No_CRISPR
ab00709	No_CRISPR
ab00710	No_CRISPR
ab00711	No_CRISPR
ab00712	No_CRISPR
ab00713	No_CRISPR
ab00714	No_CRISPR
ab00715	No_CRISPR
ab00716	No_CRISPR
ab00717	No_CRISPR
ab00718	No_CRISPR
ab00719	No_CRISPR
ab00720	No_CRISPR
ab00721	No_CRISPR
ab00722	No_CRISPR
ab00723	No_CRISPR
ab00724	No_CRISPR
ab00725	No_CRISPR
ab00726	No_CRISPR
ab00727	No_CRISPR
ab00728	No_CRISPR
ab00729	No_CRISPR
ab00730	No_CRISPR
ab00731	No_CRISPR
ab00732	No_CRISPR
ab00733	No_CRISPR
ab00734	No_CRISPR
ab00735	No_CRISPR
ab00736	No_CRISPR
ab00737	No_CRISPR
ab00738	No_CRISPR
ab00739	No_CRISPR
ab00740	No_CRISPR
ab00741	No_CRISPR
ab00742	No_CRISPR
ab00743	No_CRISPR
ab00744	No_CRISPR
ab00745	No_CRISPR
ab00746	No_CRISPR
ab00747	No_CRISPR
ab00748	No_CRISPR
ab00749	No_CRISPR
ab00750	No_CRISPR
ab00751	No_CRISPR
ab00752	No_CRISPR
ab00753	No_CRISPR
ab00754	No_CRISPR
ab00755	No_CRISPR
ab00756	No_CRISPR
ab00757	No_CRISPR
ab00758	No_CRISPR
ab00759	No_CRISPR
ab00760	No_CRISPR
ab00761	No_CRISPR
ab00762	No_CRISPR
ab00763	No_CRISPR
ab00764	No_CRISPR
ab00765	No_CRISPR
ab00766	No_CRISPR
ab00767	No_CRISPR
ab00768	No_CRISPR
ab00769	No_CRISPR
ab00770	No_CRISPR
ab00771	No_CRISPR
ab00772	No_CRISPR
ab00773	No_CRISPR
ab00774	No_CRISPR
ab00775	No_CRISPR
ab00776	No_CRISPR
ab00777	No_CRISPR
ab00778	No_CRISPR
ab00779	No_CRISPR
ab00780	No_CRISPR
ab00781	No_CRISPR
ab00782	No_CRISPR
ab00783	No_CRISPR
ab00784	No_CRISPR
ab00785	No_CRISPR
ab00786	No_CRISPR
ab00787	No_CRISPR
ab00788	No_CRISPR
ab00789	No_CRISPR
ab00790	No_CRISPR
ab00791	No_CRISPR
ab00792	No_CRISPR
ab00793	No_CRISPR
ab00794	No_CRISPR
ab00795	No_CRISPR
ab00796	No_CRISPR
ab00797	No_CRISPR
ab00798	No_CRISPR
ab00799	No_CRISPR
ab00800	No_CRISPR
ab00801	No_CRISPR
ab00802	No_CRISPR
ab00803	No_CRISPR
ab00804	No_CRISPR
ab00805	No_CRISPR
ab00806	No_CRISPR
ab00807	No_CRISPR
ab00808	No_CRISPR
ab00809	No_CRISPR
ab00810	No_CRISPR
ab00811	No_CRISPR
ab00812	No_CRISPR
ab00813	No_CRISPR
ab00814	No_CRISPR
ab00815	No_CRISPR
ab00816	No_CRISPR
ab00817	No_CRISPR
ab00818	No_CRISPR
ab00819	No_CRISPR
ab00820	No_CRISPR
ab00821	No_CRISPR
ab00822	No_CRISPR
ab00823	No_CRISPR
ab00824	No_CRISPR
ab00825	No_CRISPR
ab00826	No_CRISPR
ab00827	No_CRISPR
ab00828	No_CRISPR
ab00829	No_CRISPR
ab00830	No_CRISPR
ab00831	No_CRISPR
ab00832	No_CRISPR
ab00833	No_CRISPR
ab00834	No_CRISPR
ab00835	No_CRISPR
ab00836	No_CRISPR
ab00837	No_CRISPR
ab00838	No_CRISPR
ab00839	No_CRISPR
ab00840	No_CRISPR
ab00841	No_CRISPR
ab00842	No_CRISPR
ab00843	No_CRISPR
ab00844	No_CRISPR
ab00845	No_CRISPR
ab00846	No_CRISPR
ab00847	No_CRISPR
ab00848	No_CRISPR
ab00849	No_CRISPR
ab00850	No_CRISPR
ab00851	No_CRISPR
ab00852	No_CRISPR
ab00853	No_CRISPR
ab00854	No_CRISPR
ab00855	No_CRISPR
ab00856	No_CRISPR
ab00857	No_CRISPR
ab00858	No_CRISPR
ab00859	No_CRISPR
ab00860	No_CRISPR
ab00861	No_CRISPR
ab00862	No_CRISPR
ab00863	No_CRISPR
ab00864	No_CRISPR
ab00865	No_CRISPR
ab00866	No_CRISPR
ab00867	No_CRISPR
ab00868	No_CRISPR
ab00869	No_CRISPR
ab00870	No_CRISPR
ab00871	No_CRISPR
ab00872	No_CRISPR
ab00874	No_CRISPR
ab00875	No_CRISPR
ab00876	No_CRISPR
ab00877	No_CRISPR
ab00878	No_CRISPR
ab00879	No_CRISPR
ab00880	No_CRISPR
ab00881	No_CRISPR
ab00883	No_CRISPR
ab00884	No_CRISPR
ab00885	No_CRISPR
ab00887	No_CRISPR
ab00888	No_CRISPR
ab00889	No_CRISPR
ab00891	No_CRISPR
ab00892	No_CRISPR
ab00893	No_CRISPR
ab00894	No_CRISPR
ab00895	No_CRISPR
ab00896	No_CRISPR
ab00897	No_CRISPR
ab00898	No_CRISPR
ab00899	No_CRISPR
ab00900	No_CRISPR
ab00901	No_CRISPR
ab00902	No_CRISPR
ab00903	No_CRISPR
ab00905	No_CRISPR
ab00906	No_CRISPR
ab00907	No_CRISPR
ab00908	No_CRISPR
ab00909	No_CRISPR
ab00910	No_CRISPR
ab00911	No_CRISPR
ab00912	No_CRISPR
ab00913	No_CRISPR
ab00916	No_CRISPR
ab00917	No_CRISPR
ab00919	No_CRISPR
ab00920	No_CRISPR
ab00923	No_CRISPR
ab00924	No_CRISPR
ab00925	No_CRISPR
ab00926	No_CRISPR
ab00927	No_CRISPR
ab00928	No_CRISPR
ab00929	No_CRISPR
ab00931	No_CRISPR
ab00932	No_CRISPR
ab00933	No_CRISPR
ab00934	No_CRISPR
ab00935	No_CRISPR
ab00936	No_CRISPR
ab00937	No_CRISPR
ab00938	No_CRISPR
ab00939	No_CRISPR
ab00940	No_CRISPR
ab00941	No_CRISPR
ab00942	No_CRISPR
ab00943	No_CRISPR
ab00944	No_CRISPR
ab00945	No_CRISPR
ab00946	No_CRISPR
ab00947	No_CRISPR
ab00949	No_CRISPR
ab00951	No_CRISPR
ab00952	No_CRISPR
ab00953	No_CRISPR
ab00954	No_CRISPR
ab00955	No_CRISPR
ab00958	No_CRISPR
ab00960	No_CRISPR
ab00961	No_CRISPR
ab00962	No_CRISPR
ab00963	No_CRISPR
ab00964	No_CRISPR
ab00965	No_CRISPR
ab00966	No_CRISPR
ab00967	No_CRISPR
ab00968	No_CRISPR
ab00969	No_CRISPR
ab00970	No_CRISPR
ab00971	No_CRISPR
ab00972	No_CRISPR
ab00973	No_CRISPR
ab00974	No_CRISPR
ab00975	No_CRISPR
ab00976	No_CRISPR
ab00977	No_CRISPR
ab00978	No_CRISPR
ab00979	No_CRISPR
ab00980	No_CRISPR
ab00981	No_CRISPR
ab00982	No_CRISPR
ab00983	No_CRISPR
ab00984	No_CRISPR
ab00985	No_CRISPR
ab00986	No_CRISPR
ab00987	No_CRISPR
ab00988	No_CRISPR
ab00990	No_CRISPR
ab00991	No_CRISPR
ab00992	No_CRISPR
ab00993	No_CRISPR
ab00994	No_CRISPR
ab00995	No_CRISPR
ab00996	No_CRISPR
ab00997	No_CRISPR
ab00998	No_CRISPR
ab01000	No_CRISPR
ab01001	No_CRISPR
ab01002	No_CRISPR
ab01003	No_CRISPR
ab01004	No_CRISPR
ab01005	No_CRISPR
ab01006	No_CRISPR
ab01007	No_CRISPR
ab01008	No_CRISPR
ab01009	No_CRISPR
ab01010	No_CRISPR
ab01011	No_CRISPR
ab01012	No_CRISPR
ab01013	No_CRISPR
ab01014	No_CRISPR
ab01015	No_CRISPR
ab01016	No_CRISPR
ab01017	No_CRISPR
ab01018	No_CRISPR
ab01019	No_CRISPR
ab01020	No_CRISPR
ab01021	No_CRISPR
ab01022	No_CRISPR
ab01023	No_CRISPR
ab01024	No_CRISPR
ab01025	No_CRISPR
ab01026	No_CRISPR
ab01027	No_CRISPR
ab01028	No_CRISPR
ab01029	No_CRISPR
ab01030	No_CRISPR
ab01031	No_CRISPR
ab01032	No_CRISPR
ab01033	No_CRISPR
ab01034	No_CRISPR
ab01035	No_CRISPR
ab01036	No_CRISPR
ab01037	No_CRISPR
ab01038	No_CRISPR
ab01039	No_CRISPR
ab01040	No_CRISPR
ab01041	No_CRISPR
ab01042	No_CRISPR
ab01043	No_CRISPR
ab01044	No_CRISPR
ab01045	No_CRISPR
ab01046	No_CRISPR
ab01047	No_CRISPR
ab01048	No_CRISPR
ab01049	No_CRISPR
ab01050	No_CRISPR
ab01051	No_CRISPR
ab01052	No_CRISPR
ab01053	No_CRISPR
ab01054	No_CRISPR
ab01055	No_CRISPR
ab01056	No_CRISPR
ab01057	No_CRISPR
ab01058	No_CRISPR
ab01059	No_CRISPR
ab01060	No_CRISPR
ab01061	No_CRISPR
ab01062	No_CRISPR
ab01063	No_CRISPR
ab01064	No_CRISPR
ab01065	No_CRISPR
ab01066	No_CRISPR
ab01067	No_CRISPR
ab01068	No_CRISPR
ab01069	No_CRISPR
ab01070	No_CRISPR
ab01071	No_CRISPR
ab01072	No_CRISPR
ab01073	No_CRISPR
ab01074	No_CRISPR
ab01075	No_CRISPR
ab01076	No_CRISPR
ab01077	No_CRISPR
ab01078	No_CRISPR
ab01079	No_CRISPR
ab01080	No_CRISPR
ab01081	No_CRISPR
ab01082	No_CRISPR
ab01083	No_CRISPR
ab01084	No_CRISPR
ab01085	No_CRISPR
ab01087	No_CRISPR
ab01088	No_CRISPR
ab01089	No_CRISPR
ab01090	No_CRISPR
ab01091	No_CRISPR
ab01092	No_CRISPR
ab01093	No_CRISPR
ab01094	No_CRISPR
ab01095	No_CRISPR
ab01096	No_CRISPR
ab01097	No_CRISPR
ab01098	No_CRISPR
ab01099	No_CRISPR
ab01100	No_CRISPR
ab01101	No_CRISPR
ab01102	No_CRISPR
ab01103	No_CRISPR
ab01104	No_CRISPR
ab01105	No_CRISPR
ab01106	No_CRISPR
ab01107	No_CRISPR
ab01108	No_CRISPR
ab01109	No_CRISPR
ab01110	No_CRISPR
ab01111	No_CRISPR
ab01112	No_CRISPR
ab01113	No_CRISPR
ab01114	No_CRISPR
ab01115	No_CRISPR
ab01116	No_CRISPR
ab01117	No_CRISPR
ab01118	No_CRISPR
ab01119	No_CRISPR
ab01120	No_CRISPR
ab01121	No_CRISPR
ab01122	No_CRISPR
ab01123	No_CRISPR
ab01124	No_CRISPR
ab01125	No_CRISPR
ab01126	No_CRISPR
ab01127	No_CRISPR
ab01128	No_CRISPR
ab01129	No_CRISPR
ab01130	No_CRISPR
ab01131	No_CRISPR
ab01132	No_CRISPR
ab01133	No_CRISPR
ab01134	No_CRISPR
ab01135	No_CRISPR
ab01136	No_CRISPR
ab01137	No_CRISPR
ab01138	No_CRISPR
ab01139	No_CRISPR
