Array	N	Frequency
ifb	unique	43
ifb	unique	43
ifb	unique	96
ifb	unique	51
ifb	unique	51
ifb	unique	43
ifb	unique	102
ifb	unique	107
ifb	unique	51
ifb	unique	66
ifb	unique	107
ifb	unique	106
ifb	unique	107
ifb	unique	53
ifb	unique	107
ifb	unique	107
ifb	unique	107
ifb	unique	107
ifb	unique	51
ifb	unique	53
ifb	unique	53
ifb	unique	39
ifb	unique	52
ifb	unique	39
ifb	unique	51
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	76
ifb	unique	76
ifb	unique	76
ifb	unique	53
ifb	unique	56
ifb	unique	53
ifb	unique	53
ifb	unique	75
ifb	unique	76
ifb	unique	53
ifb	unique	55
ifb	unique	75
ifb	unique	35
ifb	unique	51
ifb	unique	55
ifb	unique	51
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	75
ifb	unique	53
ifb	unique	53
ifb	unique	75
ifb	unique	75
ifb	unique	75
ifb	unique	75
ifb	unique	75
ifb	unique	45
ifb	unique	65
ifb	unique	64
ifb	unique	76
ifb	unique	45
ifb	unique	15
ifb	unique	65
ifb	unique	76
ifb	unique	64
ifb	unique	64
ifb	unique	56
ifb	unique	32
ifb	unique	76
ifb	unique	64
ifb	unique	20
ifb	unique	64
ifb	unique	81
ifb	unique	32
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	32
ifb	unique	64
ifb	unique	56
ifb	unique	32
ifb	unique	14
ifb	unique	65
ifb	unique	64
ifb	unique	52
ifb	unique	52
ifb	unique	32
ifb	unique	64
ifb	unique	52
ifb	unique	32
ifb	unique	32
ifb	unique	32
ifb	unique	5
ifb	unique	32
ifb	unique	43
ifb	unique	53
ifb	unique	64
ifb	unique	76
ifb	unique	64
ifb	unique	20
ifb	unique	52
ifb	unique	20
ifb	unique	64
ifb	unique	45
ifb	unique	76
ifb	unique	55
ifb	unique	6
ifb	unique	7
ifb	unique	32
ifb	unique	81
ifb	unique	64
ifb	unique	32
ifb	unique	32
ifb	unique	76
ifb	unique	55
ifb	unique	55
ifb	unique	55
ifb	unique	55
ifb	unique	55
ifb	unique	52
ifb	unique	55
ifb	unique	55
ifb	unique	52
ifb	unique	55
ifb	unique	55
ifb	unique	52
ifb	unique	52
ifb	unique	56
ifb	unique	56
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	76
ifb	unique	51
ifb	unique	52
ifb	unique	75
ifb	unique	76
ifb	unique	64
ifb	unique	20
ifb	unique	45
ifb	unique	52
ifb	unique	53
ifb	unique	56
ifb	unique	52
ifb	unique	32
ifb	unique	32
ifb	unique	33
ifb	unique	6
ifb	unique	52
ifb	unique	75
ifb	unique	53
ifb	unique	53
ifb	unique	52
ifb	unique	52
ifb	unique	53
ifb	unique	52
ifb	unique	64
ifb	unique	64
ifb	unique	76
ifb	unique	52
ifb	unique	55
ifb	unique	76
ifb	unique	51
ifb	unique	55
ifb	unique	52
ifb	unique	52
ifb	unique	53
ifb	unique	52
ifb	unique	53
ifb	unique	53
ifb	unique	76
ifb	unique	55
ifb	unique	51
ifb	unique	55
ifb	unique	53
ifb	unique	55
ifb	unique	51
ifb	unique	55
ifb	unique	52
ifb	unique	81
ifb	unique	52
ifb	unique	52
ifb	unique	24
ifb	unique	25
ifb	unique	75
ifb	unique	55
ifb	unique	75
ifb	unique	75
ifb	unique	76
ifb	unique	75
ifb	unique	75
ifb	unique	75
ifb	unique	75
ifb	unique	13
ifb	unique	30
ifb	unique	52
ifb	unique	52
ifb	unique	49
ifb	unique	53
ifb	unique	55
ifb	unique	32
ifb	unique	54
ifb	unique	60
ifb	unique	59
ifb	unique	51
ifb	unique	50
ifb	unique	51
ifb	unique	56
ifb	unique	76
ifb	unique	76
ifb	unique	11
ifb	unique	10
ifb	unique	116
ifb	unique	45
ifb	unique	52
ifb	unique	59
ifb	unique	5
ifb	unique	25
ifb	unique	13
ifb	unique	5
ifb	unique	51
ifb	unique	32
ifb	unique	52
ifb	unique	52
ifb	unique	72
ifb	unique	77
ifb	unique	53
ifb	unique	52
ifb	unique	12
ifb	unique	90
ifb	unique	52
ifb	unique	41
ifb	unique	52
ifb	unique	52
ifb	unique	76
ifb	unique	51
ifb	unique	64
ifb	unique	52
ifb	unique	53
ifb	unique	13
ifb	unique	13
ifb	unique	12
ifb	unique	29
ifb	unique	20
ifb	unique	5
ifb	unique	110
ifb	unique	20
ifb	unique	97
ifb	unique	26
ifb	unique	53
ifb	unique	38
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	112
ifb	unique	121
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	47
ifb	unique	56
ifb	unique	56
ifb	unique	178
ifb	unique	70
ifb	unique	52
ifb	unique	44
ifb	unique	9
ifb	unique	6
ifb	unique	91
ifb	unique	81
ifb	unique	46
ifb	unique	13
ifb	unique	39
ifb	unique	53
ifb	unique	47
ifb	unique	63
ifb	unique	76
ifb	unique	76
ifb	unique	52
ifb	unique	52
ifb	unique	9
ifb	unique	11
ifb	unique	4
ifb	unique	33
ifb	unique	50
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	67
ifb	unique	53
ifb	unique	58
ifb	unique	48
ifb	unique	64
ifb	unique	64
ifb	unique	48
ifb	unique	55
ifb	unique	52
ifb	unique	76
ifb	unique	53
ifb	unique	75
ifb	unique	76
ifb	unique	76
ifb	unique	46
ifb	unique	46
ifb	unique	81
ifb	unique	120
ifb	unique	56
ifb	unique	44
ifb	unique	162
ifb	unique	93
ifb	unique	7
ifb	unique	28
ifb	unique	80
ifb	unique	13
ifb	unique	14
ifb	unique	17
ifb	unique	52
ifb	unique	76
ifb	unique	76
ifb	unique	76
ifb	unique	76
ifb	unique	76
ifb	unique	59
ifb	unique	54
ifb	unique	54
ifb	unique	54
ifb	unique	52
ifb	unique	54
ifb	unique	54
ifb	unique	52
ifb	unique	54
ifb	unique	56
ifb	unique	53
ifb	unique	52
ifb	unique	56
ifb	unique	54
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	53
ifb	unique	54
ifb	unique	61
ifb	unique	59
ifb	unique	59
ifb	unique	56
ifb	unique	7
ifb	unique	44
ifb	unique	55
ifb	unique	55
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	53
ifb	unique	54
ifb	unique	24
ifb	unique	38
ifb	unique	5
ifb	unique	52
ifb	unique	55
ifb	unique	68
ifb	unique	51
ifb	unique	51
ifb	unique	51
ifb	unique	50
ifb	unique	53
ifb	unique	53
ifb	unique	97
ifb	unique	130
ifb	unique	83
ifb	unique	57
ifb	unique	56
ifb	unique	52
ifb	unique	56
ifb	unique	101
ifb	unique	78
ifb	unique	53
ifb	unique	52
